x, y, th, stamp, 
0.26420533657073975, -0.07721678912639618, 0.053008854389190674, 1728051590379290117, 
0.2516195476055145, -0.07869476824998856, 0.09180276095867157, 1728051590429270468, 
0.23905086517333984, -0.08087674528360367, 0.13042666018009186, 1728051590479279598, 
0.22720052301883698, -0.08370975404977798, 0.16811324656009674, 1728051590527351150, 
0.21516862511634827, -0.08790232241153717, 0.20639345049858093, 1728051590578041487, 
0.20533356070518494, -0.09229827672243118, 0.2383919060230255, 1728051590619585257, 
0.19028356671333313, -0.10035042464733124, 0.29049474000930786, 1728051590687553580, 
0.17982065677642822, -0.1073841005563736, 0.32803061604499817, 1728051590737345665, 
0.17132560908794403, -0.11383534222841263, 0.35944217443466187, 1728051590779290594, 
0.16187569499015808, -0.12220919877290726, 0.3960467576980591, 1728051590829336751, 
0.15298572182655334, -0.13143008947372437, 0.4311051070690155, 1728051590879288882, 
0.14511092007160187, -0.14077110588550568, 0.46478554606437683, 1728051590927370848, 
0.137996643781662, -0.15111100673675537, 0.4993726909160614, 1728051590978152017, 
0.13230083882808685, -0.16053006052970886, 0.5280667543411255, 1728051591020727831, 
0.12651242315769196, -0.17175525426864624, 0.559941291809082, 1728051591069290354, 
0.11996429413557053, -0.1879168003797531, 0.6027048230171204, 1728051591137223920, 
0.11680234968662262, -0.19816415011882782, 0.6285449266433716, 1728051591179298110, 
0.1141381487250328, -0.21013393998146057, 0.6592435836791992, 1728051591229292672, 
0.11219195276498795, -0.22297999262809753, 0.6887786388397217, 1728051591280250419, 
0.1115417331457138, -0.2352614849805832, 0.7145504951477051, 1728051591328353431, 
0.11148197203874588, -0.25104352831840515, 0.7474207282066345, 1728051591389407068, 
0.11212268471717834, -0.25884974002838135, 0.7629575729370117, 1728051591420501540, 
0.11513584852218628, -0.2758159637451172, 0.7959351539611816, 1728051591488353770, 
0.11857353895902634, -0.28819739818573, 0.8188760280609131, 1728051591538351003, 
0.12197908014059067, -0.29812437295913696, 0.8373994827270508, 1728051591580266471, 
0.1269490122795105, -0.3097279965877533, 0.8582958579063416, 1728051591630295225, 
0.1326667070388794, -0.32139790058135986, 0.8781405687332153, 1728051591681296844, 
0.13897281885147095, -0.3316076993942261, 0.8948662877082825, 1728051591728270957, 
0.14667215943336487, -0.3418060541152954, 0.911540687084198, 1728051591778378268, 
0.15360228717327118, -0.3500058352947235, 0.9246551394462585, 1728051591820338883, 
0.16287937760353088, -0.3593001067638397, 0.9388340711593628, 1728051591871398803, 
0.17619262635707855, -0.37002575397491455, 0.9552544951438904, 1728051591938228072, 
