x, y, th, stamp, 
-1.248246431350708, 0.07095126807689667, 0.9964189529418945, 1728053555257008276, 
-1.2458386421203613, 0.07117101550102234, 0.9955158233642578, 1728053555349246195, 
-1.242500901222229, 0.07197277247905731, 0.9941691160202026, 1728053555398262747, 
-1.2380269765853882, 0.07302383333444595, 0.992088258266449, 1728053555448252485, 
-1.2329003810882568, 0.07442920655012131, 0.9888790249824524, 1728053555498094937, 
-1.2281079292297363, 0.07590430229902267, 0.9852481484413147, 1728053555538107821, 
-1.2211648225784302, 0.0786624327301979, 0.9792330265045166, 1728053555588469994, 
-1.2103427648544312, 0.08371668308973312, 0.9674060940742493, 1728053555658377119, 
-1.202863335609436, 0.08809396624565125, 0.9589360356330872, 1728053555698237813, 
-1.1916900873184204, 0.09521394968032837, 0.945339024066925, 1728053555753249637, 
-1.1818495988845825, 0.10307956486940384, 0.9317202568054199, 1728053555803231448, 
-1.1744184494018555, 0.10992325097322464, 0.919723391532898, 1728053555843275405, 
-1.1657894849777222, 0.11919128894805908, 0.9042176604270935, 1728053555893529850, 
-1.1578763723373413, 0.12920314073562622, 0.8873798847198486, 1728053555943585380, 
-1.1490504741668701, 0.14183346927165985, 0.8658201694488525, 1728053556002865775, 
-1.1429169178009033, 0.1532592475414276, 0.846844494342804, 1728053556053223861, 
-1.1373759508132935, 0.16508887708187103, 0.8270865678787231, 1728053556103255459, 
-1.1325366497039795, 0.1773059368133545, 0.8061586022377014, 1728053556153229106, 
-1.1284631490707397, 0.1904476135969162, 0.7854520678520203, 1728053556203354490, 
-1.1259881258010864, 0.20091329514980316, 0.7682325839996338, 1728053556243273444, 
-1.1236814260482788, 0.21439063549041748, 0.7462841868400574, 1728053556293623626, 
-1.1223827600479126, 0.22798418998718262, 0.7239152789115906, 1728053556343583950, 
-1.1219940185546875, 0.24232150614261627, 0.7008450627326965, 1728053556393391861, 
-1.1226848363876343, 0.2588594853878021, 0.6724167466163635, 1728053556453269323, 
-1.1240603923797607, 0.2725180685520172, 0.6484978795051575, 1728053556503234034, 
-1.1267136335372925, 0.28618139028549194, 0.6248644590377808, 1728053556553232008, 
-1.1297802925109863, 0.2990803122520447, 0.6024593114852905, 1728053556599259951, 
-1.1335293054580688, 0.3112000823020935, 0.58092200756073, 1728053556643263723, 
-1.1384186744689941, 0.3250065743923187, 0.5564305186271667, 1728053556692826097, 
-1.1439954042434692, 0.33807820081710815, 0.5314924120903015, 1728053556743303961, 
